Fuel type,license type,driving license,Gear type,Glass,Motor power,Payment method,Previous owners,Number Of Passengers,magnesium_rims,sunroof,Name,Model,Price,scaled_motor_power,normalized_price,brand,type,Alfa Romeo,Audi,BMW,Bus,Cadillac,Chevrolet,Citroen,DAF,Dacia,Daewoo,Daihatsu,Dodge,Fiat,Ford,GMC,Honda,Hyundai,Isuzu,Iveco,Jaguar,Jeep,Kia,Land Rover,Mazda,Mercedes,Mitsubishi,Motorcycle,Nissan,Opel,Peugeot,Renault,Rover,Seat,Skoda,SsangYong,Subaru,Suzuki,Toyota,Truck,Volkswagen,Volvo
1,5,1,1,1,1600.0,0,1,5,0,0,سيت قرطبة,2008,42000.0,0.45833333333333337,0.2692031681030226,Seat,قرطبة,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,5,1,1,1,1400.0,0,1,5,20,20,فورد فوكس,2009,39000.0,0.375,0.24945190237607726,Ford,فوكس,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,1,1,5,20,20,سيت ابيزا,2010,45000.0,0.375,0.28895443382996794,Seat,ابيزا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,5,1,1,1,2800.0,0,1,3,0,0,هونداي اكسنت,2014,56000.0,0.9583333333333334,0.36137574149543417,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,0,1,5,20,20,فولكسفاجن كادي,2011,58000.0,0.375,0.3745432519800644,Volkswagen,كادي,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,1,1,1400.0,1,1,5,20,0,فولكسفاجن جولف,2011,95000.0,0.375,0.6181421959457236,Volkswagen,جولف,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,3,1,1400.0,0,1,5,20,20,سكودا اوكتافيا,2014,100000.0,0.375,0.6510609721572992,Skoda,اوكتافيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,5,1,3,1,1600.0,1,1,5,20,0,اوبل كورسا,2017,60000.0,0.45833333333333337,0.3877107624646946,Opel,كورسا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,1,0,2500.0,1,2,7,0,0,كيا ريو,2016,68000.0,0.8333333333333334,0.4403808044032155,Kia,ريو,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1200.0,0,1,5,0,0,اوبل كورسا,2013,50000.0,0.29166666666666663,0.3218732100415435,Opel,كورسا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,1,2,5,20,0,سكودا اوكتافيا,2016,110000.0,0.375,0.7168985245804502,Skoda,اوكتافيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,5,1,1,1,1600.0,0,3,7,20,0,ستروين  C4,2013,62000.0,0.45833333333333337,0.4008782729493248,Citroen,C4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,2000.0,1,1,5,20,20,هونداي فيرنا,2008,38000.0,0.625,0.24286814713376217,Hyundai,فيرنا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,2,1,1800.0,1,1,5,20,20,جييب  سوناتا,2005,60000.0,0.5416666666666666,0.3877107624646946,Jeep,سوناتا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,2,5,20,20,ستروين C-Elysee,2015,75000.0,0.625,0.48646709109942127,Citroen,C-Elysee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1600.0,0,2,5,20,20,هونداي اكسنت,2016,63000.0,0.45833333333333337,0.40746202819163996,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,1600.0,0,0,7,20,20,فولكسفاجن كادي,2011,68000.0,0.45833333333333337,0.4403808044032155,Volkswagen,كادي,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,3,1,1500.0,1,1,5,0,0,فولكسفاجن GTI,2016,120000.0,0.41666666666666663,0.7827360770036014,Volkswagen,GTI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,5,1,3,1,2000.0,1,1,5,20,20,اودي A4,2010,83000.0,0.625,0.5391371330379422,Audi,A4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,0,7,20,0,هونداي توسان,2015,109999.0,0.625,0.7168919408252079,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,1,1,1600.0,1,0,7,0,0,بيجو 307,2007,37000.0,0.45833333333333337,0.23628439189144707,Peugeot,307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
