لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,إمكانية التقسيط,للبيع فقط,يد أولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1035.0,1926.0,2960.0,سكودا اوكتافيا,موديل سنة 2014,100000.0
أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,84000,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1085.0,2425.0,اوبل كورسا,موديل سنة 2017,60000.0
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,18000,نقدا فقط,للبيع فقط,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,فولفو 2007,موديل سنة 2007,230000.0
فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,نقدا فقط,للبيع أو التبديل,2,6+1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1690.0,1050.0,2740.0,كيا ريو,موديل سنة 2016,68000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,إمكانية التقسيط,للبيع أو التبديل,1,4+1,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1035.0,1313.0,2348.0,اوبل كورسا,موديل سنة 2013,50000.0
رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80.000,نقدا فقط,للبيع فقط,يد٢,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1103.0,2138.0,سكودا اوكتافيا,موديل سنة 2016,110000.0
فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,297000,إمكانية التقسيط,للبيع فقط,٣,,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1190.0,2530.0,ستروين  C4,موديل سنة 2013,62000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٧٠٠٠٠,نقدا فقط,للبيع فقط,ايد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,2100.0,3440.0,هونداي فيرنا,موديل سنة 2008,38000.0
زيتي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,80000 Km,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1453.0,2793.0,جييب  سوناتا,موديل سنة 2005,60000.0
بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000,نقدا فقط,للبيع أو التبديل,2,4+1,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1925.0,3265.0,ستروين C-Elysee,موديل سنة 2015,75000.0
